"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0032945","negative regulation of mononuclear cell proliferation","5/111","80/18866",0.000108977322416675,0.00189866123703418,0.00145653159612502,"11314/695/4067/5777/6441",5
"BP","GO:0002823","negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","4/111","43/18866",0.000117357822422455,0.00203037239631576,0.00155757198253726,"5788/5777/3718/3566",4
"BP","GO:0042493","response to drug","10/111","397/18866",0.000118518530866365,0.0020362142039124,0.00156205344409397,"969/7050/301/4129/3956/1535/5141/4067/1399/2027",10
"BP","GO:0051056","regulation of small GTPase mediated signal transduction","9/111","323/18866",0.000123712164332181,0.00211078547970908,0.00161925976254753,"397/9459/5880/26230/117289/4067/391/1399/8829",9
"BP","GO:0043087","regulation of GTPase activity","11/111","481/18866",0.000125981445981012,0.00212175697455642,0.00162767639242872,"6001/5996/397/9459/26230/117289/80005/391/6000/1399/8829",11
"BP","GO:0030889","negative regulation of B cell proliferation","3/111","17/18866",0.00012692806476732,0.00212175697455642,0.00162767639242872,"11314/695/4067",3
"BP","GO:0045623","negative regulation of T-helper cell differentiation","3/111","17/18866",0.00012692806476732,0.00212175697455642,0.00162767639242872,"301/3718/3566",3
"BP","GO:0042088","T-helper 1 type immune response","4/111","44/18866",0.000128511179123351,0.00213380306812865,0.00163691738579584,"8809/301/3718/3566",4
"BP","GO:0002718","regulation of cytokine production involved in immune response","5/111","83/18866",0.000129790285189425,0.00214067443705758,0.0016421886610283,"2207/54440/8809/695/3718",5
"BP","GO:0099024","plasma membrane invagination","6/111","135/18866",0.000146988749779945,0.00240827925136148,0.00184747797736661,"11314/2207/2624/51411/5880/391",6
"BP","GO:0001776","leukocyte homeostasis","5/111","86/18866",0.000153520588804046,0.00248241788693601,0.001904352401883,"2207/301/4067/3718/27040",5
"BP","GO:0070664","negative regulation of leukocyte proliferation","5/111","86/18866",0.000153520588804046,0.00248241788693601,0.001904352401883,"11314/695/4067/5777/6441",5
"BP","GO:0050864","regulation of B cell activation","7/111","195/18866",0.000155258028150966,0.00249421014055513,0.00191339866545586,"11314/5788/54440/695/64092/4067/5777",7
"BP","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","8/111","263/18866",0.000164220364321446,0.00262116891181456,0.00201079332340622,"11314/5788/3815/64092/4067/5777/960/8829",8
"BP","GO:0046638","positive regulation of alpha-beta T cell differentiation","4/111","47/18866",0.000166578094853871,0.00264175773505434,0.00202658775318171,"54440/301/5914/3566",4
"BP","GO:0010324","membrane invagination","6/111","143/18866",0.000201180634976536,0.00317019675752835,0.00243197240940459,"11314/2207/2624/51411/5880/391",6
"BP","GO:0045582","positive regulation of T cell differentiation","5/111","92/18866",0.000210808349477881,0.00330088516840683,0.00253222820858508,"5788/54440/301/5914/3566",5
"BP","GO:0007599","hemostasis","9/111","348/18866",0.000216031787755252,0.00336140026985216,0.00257865152812128,"5579/2207/3937/2624/2313/5023/4067/5777/928",9
"BP","GO:0050852","T cell receptor signaling pathway","7/111","206/18866",0.000217519300447844,0.00336339218317479,0.00258017959675962,"11314/5788/3937/5777/3958/1399/27040",7
"BP","GO:0043277","apoptotic cell clearance","4/111","51/18866",0.000229206006411189,0.0035220848438589,0.00270191846720742,"301/5880/391/5914",4
"BP","GO:0006837","serotonin transport","3/111","21/18866",0.000244035732944542,0.00370395339450796,0.00284143639973529,"2207/4129/5023",3
"BP","GO:0043371","negative regulation of CD4-positive, alpha-beta T cell differentiation","3/111","21/18866",0.000244035732944542,0.00370395339450796,0.00284143639973529,"301/3718/3566",3
"BP","GO:0045580","regulation of T cell differentiation","6/111","150/18866",0.00026054443708435,0.00390658749907079,0.00299688433852046,"5788/54440/301/3718/5914/3566",6
"BP","GO:0097530","granulocyte migration","6/111","150/18866",0.00026054443708435,0.00390658749907079,0.00299688433852046,"11314/2207/301/5880/3958/391",6
"BP","GO:0042100","B cell proliferation","5/111","97/18866",0.000269907138467127,0.00402259193113056,0.00308587552730647,"11314/5788/54440/695/4067",5
"BP","GO:0001818","negative regulation of cytokine production","9/111","360/18866",0.000277461784747194,0.00409461155967376,0.00314112438501119,"5788/695/301/8832/5777/7538/3718/5914/6441",9
"BP","GO:0002313","mature B cell differentiation involved in immune response","3/111","22/18866",0.000281359727220913,0.00409461155967376,0.00314112438501119,"4242/3955/3956",3
"BP","GO:0033005","positive regulation of mast cell activation","3/111","22/18866",0.000281359727220913,0.00409461155967376,0.00314112438501119,"2207/2624/3566",3
"BP","GO:0045624","positive regulation of T-helper cell differentiation","3/111","22/18866",0.000281359727220913,0.00409461155967376,0.00314112438501119,"301/5914/3566",3
"BP","GO:0002706","regulation of lymphocyte mediated immunity","6/111","154/18866",0.000300178695766366,0.00434293621828064,0.00333162319770242,"5788/2207/54440/8809/695/5777",6
"BP","GO:0001819","positive regulation of cytokine production","10/111","447/18866",0.000308010738507953,0.00442110041874536,0.00339158577841037,"5788/2207/54440/8809/5724/301/1535/4615/5914/8737",10
"BP","GO:0002702","positive regulation of production of molecular mediator of immune response","5/111","100/18866",0.000310942390000684,0.00442110041874536,0.00339158577841037,"5788/2207/54440/8809/3566",5
"BP","GO:0030219","megakaryocyte differentiation","5/111","100/18866",0.000310942390000684,0.00442110041874536,0.00339158577841037,"2624/2313/3815/5777/5305",5
"BP","GO:0032703","negative regulation of interleukin-2 production","3/111","23/18866",0.000322180815760411,0.00452681094816413,0.00347268014276472,"5788/7538/6441",3
"BP","GO:0002712","regulation of B cell mediated immunity","4/111","56/18866",0.000329355687416953,0.00452681094816413,0.00347268014276472,"5788/2207/695/5777",4
"BP","GO:0002889","regulation of immunoglobulin mediated immune response","4/111","56/18866",0.000329355687416953,0.00452681094816413,0.00347268014276472,"5788/2207/695/5777",4
"BP","GO:0050732","negative regulation of peptidyl-tyrosine phosphorylation","4/111","56/18866",0.000329355687416953,0.00452681094816413,0.00347268014276472,"11314/5788/64092/5777",4
"BP","GO:0070228","regulation of lymphocyte apoptotic process","4/111","56/18866",0.000329355687416953,0.00452681094816413,0.00347268014276472,"695/4067/3958/3718",4
"BP","GO:1903307","positive regulation of regulated secretory pathway","4/111","56/18866",0.000329355687416953,0.00452681094816413,0.00347268014276472,"2207/2624/5724/3566",4
"BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","9/111","370/18866",0.000339134309841343,0.00463546012457173,0.00355602884933959,"5788/2207/54440/8809/695/301/5777/3718/3566",9
"BP","GO:0032753","positive regulation of interleukin-4 production","3/111","24/18866",0.000366633375273764,0.00498379654080929,0.00382325029276227,"2207/54440/5914",3
"BP","GO:0031532","actin cytoskeleton reorganization","5/111","105/18866",0.000389636110520216,0.0052675395487815,0.00404091980021829,"9535/397/3815/301/8829",5
"BP","GO:0006636","unsaturated fatty acid biosynthetic process","4/111","59/18866",0.000402632884903237,0.00538439868784112,0.0041305666656076,"27306/241/301/240",4
"BP","GO:0046456","icosanoid biosynthetic process","4/111","59/18866",0.000402632884903237,0.00538439868784112,0.0041305666656076,"27306/241/301/240",4
"BP","GO:0002708","positive regulation of lymphocyte mediated immunity","5/111","106/18866",0.000407028437701003,0.00541391588641012,0.0041532103745043,"5788/2207/54440/8809/695",5
"BP","GO:0046639","negative regulation of alpha-beta T cell differentiation","3/111","25/18866",0.000414849116698037,0.00545923784420715,0.00418797848491916,"301/3718/3566",3
"BP","GO:0050857","positive regulation of antigen receptor-mediated signaling pathway","3/111","25/18866",0.000414849116698037,0.00545923784420715,0.00418797848491916,"5788/5579/123920",3
"BP","GO:0002440","production of molecular mediator of immune response","8/111","306/18866",0.000454821122763085,0.00595358443235912,0.00456720960368612,"5788/2207/54440/8809/695/3815/3718/3566",8
"BP","GO:0001783","B cell apoptotic process","3/111","26/18866",0.000466957116833087,0.00604843930390083,0.0046399762008821,"695/4067/1399",3
"BP","GO:0032743","positive regulation of interleukin-2 production","3/111","26/18866",0.000466957116833087,0.00604843930390083,0.0046399762008821,"5788/54440/301",3
"BP","GO:0038095","Fc-epsilon receptor signaling pathway","6/111","169/18866",0.000492673244120782,0.00634830003101466,0.00487001019270708,"2207/3937/695/2206/4067/27040",6
"BP","GO:0006940","regulation of smooth muscle contraction","4/111","65/18866",0.000582966315773219,0.00743925701014467,0.00570692268616382,"3815/5724/5023/80005",4
"BP","GO:0002335","mature B cell differentiation","3/111","28/18866",0.000583353217448692,0.00743925701014467,0.00570692268616382,"4242/3955/3956",3
"BP","GO:0071216","cellular response to biotic stimulus","7/111","246/18866",0.00063242551503471,0.0080236960215173,0.00615526695604633,"695/5724/4615/4067/7431/7538/5914",7
